Trajectories
100
,,S01:WRIST,,,S01:ELBOW,,,S01:SHLDR,,,S01:CHEST,,,S01:RHIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
91,0,-44.9868,-140.281,1368.65,52.4131,-71.3467,1159.99,271.22,-183.136,1280.03,153.973,-317.217,1232.68,263.61,-187.21,941.446
92,0,-44.9288,-140.411,1369.17,52.0988,-71.2984,1160.53,271.14,-183.222,1280.13,153.975,-317.312,1232.71,263.609,-187.27,941.438
93,0,-44.8881,-140.617,1369.7,51.957,-71.4372,1160.98,271.081,-183.267,1280.19,153.899,-317.366,1232.72,263.683,-187.301,941.461
94,0,-44.9752,-140.741,1370.35,51.7307,-71.3432,1161.47,271.034,-183.345,1280.29,153.85,-317.446,1232.74,263.624,-187.31,941.459
95,0,-45.1292,-140.776,1371.02,51.5429,-71.4419,1161.97,270.966,-183.365,1280.37,153.771,-317.503,1232.75,263.677,-187.359,941.442
96,0,-45.2795,-140.754,1371.63,51.3031,-71.3675,1162.51,270.904,-183.439,1280.42,153.754,-317.572,1232.75,263.654,-187.374,941.453
97,0,-45.2149,-140.919,1372.2,51.0611,-71.4544,1163.05,270.934,-183.404,1280.62,153.738,-317.65,1232.75,263.679,-187.393,941.449
98,0,-45.3314,-141.039,1372.84,50.8101,-71.5226,1163.59,270.851,-183.596,1280.62,153.74,-317.727,1232.76,263.713,-187.438,941.458
99,0,-45.3492,-141.081,1373.53,50.5179,-71.4402,1164.18,270.747,-183.644,1280.7,153.62,-317.772,1232.76,263.716,-187.435,941.461
100,0,-45.4536,-141.177,1374.2,50.361,-71.506,1164.76,270.719,-183.725,1280.77,153.662,-317.801,1232.78,263.772,-187.516,941.484
101,0,-45.6055,-141.125,1374.89,50.22,-71.665,1165.36,270.685,-183.693,1280.86,153.615,-317.854,1232.85,263.781,-187.517,941.5
102,0,-45.6701,-141.132,1375.59,49.8414,-71.6084,1165.97,270.69,-183.803,1280.92,153.575,-317.907,1232.83,263.707,-187.526,941.482
103,0,-45.6941,-141.333,1376.25,49.6712,-71.5698,1166.57,270.658,-183.858,1281.03,153.516,-318.01,1232.82,263.763,-187.546,941.522
104,0,-45.7461,-141.399,1376.88,49.2845,-71.6471,1167.14,270.563,-183.865,1281.14,153.404,-317.975,1232.82,263.657,-187.556,941.505
105,0,-45.8437,-141.423,1377.62,49.1544,-71.7444,1167.74,270.543,-183.962,1281.15,153.433,-318.065,1232.82,263.639,-187.585,941.486
106,0,-45.984,-141.428,1378.32,48.9557,-71.8465,1168.32,270.555,-183.765,1281.38,153.336,-318.115,1232.82,263.633,-187.568,941.501
107,0,-45.8922,-141.59,1378.92,48.6179,-71.6933,1168.97,270.499,-183.832,1281.47,153.368,-318.142,1232.87,263.623,-187.582,941.516
108,0,-45.8998,-141.785,1379.64,48.2882,-71.6677,1169.58,270.454,-183.773,1281.64,153.281,-318.192,1232.88,263.598,-187.61,941.488
109,0,-45.9245,-141.873,1380.42,48.0686,-71.8719,1170.13,270.445,-183.584,1281.91,153.273,-318.258,1232.95,263.585,-187.606,941.513
110,0,-46.0075,-141.985,1381.22,47.9057,-72.0623,1170.72,270.315,-183.564,1282.03,153.25,-318.249,1232.96,263.533,-187.592,941.54
111,0,-46.0781,-142.079,1381.9,47.6498,-71.9881,1171.35,270.213,-183.767,1281.98,153.117,-318.287,1232.96,263.514,-187.639,941.507
112,0,-45.9344,-142.186,1382.63,47.267,-71.9965,1171.98,270.256,-183.549,1282.32,153.108,-318.378,1232.99,263.462,-187.627,941.507
113,0,-45.9482,-142.332,1383.33,46.8861,-72.0764,1172.53,270.063,-183.818,1282.2,153.105,-318.379,1232.99,263.427,-187.603,941.497
114,0,-45.9936,-142.46,1384.04,46.6763,-72.2024,1173.12,270.015,-183.72,1282.33,153.005,-318.44,1233.02,263.396,-187.604,941.509
115,0,-45.9085,-142.613,1384.8,46.5605,-72.2848,1173.71,269.865,-183.807,1282.37,153.003,-318.543,1232.98,263.403,-187.616,941.511
116,0,-45.877,-142.664,1385.57,46.1222,-72.3439,1174.33,269.745,-183.959,1282.36,152.876,-318.496,1233.05,263.284,-187.57,941.528
117,0,-45.8135,-142.763,1386.37,45.8043,-72.4605,1174.93,269.684,-183.825,1282.61,152.888,-318.577,1233.06,263.267,-187.565,941.557
118,0,-45.7587,-142.976,1387.13,45.497,-72.4011,1175.6,269.589,-183.865,1282.61,152.795,-318.656,1233.12,263.231,-187.565,941.556
119,0,-45.7064,-143.098,1387.92,45.309,-72.6426,1176.22,269.505,-183.942,1282.72,152.791,-318.67,1233.14,263.129,-187.552,941.558
