Devices
1000
,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,Analog EMG - Voltage,,,,,,,,,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,RFEM,LFEM,LHAM,RHAM,LTIB,RTIB,7,LGAS,RGAS,10,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
7,0,1.08744,-0.811824,-565.48,-43091.3,54433.3,107.374,230.26,-180.797,-3,-0.00146484,0.000488281,0.00592041,-0.00897217,0.00292969,0.00012207,0.000335693,-0.000305176,0.000671387,0.00106812,0,0,0,0,0,0,226,252,-3
7,1,0.69685,-0.640369,-564.786,-43065.3,54372.6,124.281,230.271,-180.749,-3,0.000823975,-0.000183105,0.00366211,-0.0163574,0.00170898,0.000427246,0.000366211,0.000488281,0.000427246,0.000854492,0,0,0,0,0,0,226,252,-3
7,2,1.39634,-1.2495,-564.43,-43338.7,54285.7,210.676,230.178,-180.217,-3,0.00106812,-0.000793457,-0.000427246,-0.0134277,0.00183105,-0.00012207,0.000183105,0.000549316,0.000610352,0.000823975,0,0,0,0,0,0,226,252,-3
7,3,0.652287,-0.67799,-566.525,-43068.4,54317.5,132.63,229.878,-180.978,-3,0.00143433,-6.10352e-005,-0.0020752,0.00262451,0.00146484,-6.10352e-005,0.000213623,0.000183105,-0.000671387,0.000518799,0,0,0,0,0,0,226,252,-3
7,4,1.56473,-0.545313,-565.646,-43137.6,54278.6,150.472,229.959,-180.737,-3,0.00326538,-0.000915527,-0.00408936,0.00769043,0.00134277,0.000183105,-9.15527e-005,0.000488281,0.000549316,0.0010376,0,0,0,0,0,0,226,252,-3
7,5,0.695406,-0.679418,-566.518,-43336.6,54313.7,218.641,229.873,-180.504,-3,0.00427246,-0.000427246,-0.00646973,0.00518799,-0.000366211,6.10352e-005,0.000213623,6.10352e-005,0.00012207,0.000915527,0,0,0,0,0,0,226,252,-3
7,6,0.739346,-0.683877,-565.474,-43354.8,54388.1,201.631,230.182,-180.33,-3,0.00421143,-0.000244141,-0.00646973,0.00115967,-0.000610352,-0.000366211,0.00012207,0.000427246,0.000671387,0.000762939,0,0,0,0,0,0,226,252,-3
7,7,1.22159,-0.942781,-564.953,-43230.7,54197.9,150.026,229.933,-180.479,-3,0.00210571,-0.000854492,-0.00671387,-0.00146484,0.00238037,6.10352e-005,0.000274658,0.000366211,-0.000244141,0.000823975,0,0,0,0,0,0,226,252,-3
7,8,1.21983,-0.632168,-565.993,-43219,54063.6,175.544,229.52,-180.64,-3,0.00222778,0.00158691,-0.000732422,-6.10352e-005,0.00238037,0.000366211,0.000152588,-6.10352e-005,0.000366211,0.000915527,0,0,0,0,0,0,226,252,-3
7,9,1.69724,-0.373257,-564.945,-43206.2,54100.9,107.029,229.763,-180.521,-3,-0.00549316,-6.10352e-005,-0.00201416,0.00427246,0.00183105,0.000244141,0.000457764,0.000244141,0.000488281,0.000976563,0,0,0,0,0,0,226,252,-3
